age,gender,norm_educ,norm_income,party,prefsep_welfare,welfare_support
48,Hombre,0.6,0.5,ndp,-1,Mantener o Reducir
19,Hombre,0.4,0,ndp,0,Mantener o Reducir
51,Mujer,0.5,0.5,ndp,0,Mantener o Reducir
69,Mujer,0.7,0.5,ndp,0,Mantener o Reducir
18,Hombre,0.7,0.25,ndp,-1,Mantener o Reducir
18,Hombre,0.3,1,ndp,1,Aumentar
55,Hombre,0.4,0.25,cons,0,Mantener o Reducir
39,Mujer,0.6,0.25,lib,0,Mantener o Reducir
65,Mujer,0.6,0,lib,1,Aumentar
19,Hombre,0.4,0.75,cons,0,Mantener o Reducir
57,Mujer,0.8,1,cons,-1,Mantener o Reducir
59,Mujer,0.9,1,cons,-1,Mantener o Reducir
42,Mujer,0.4,0,other,0,Mantener o Reducir
22,Mujer,0.8,NA,ndp,0,Mantener o Reducir
18,Hombre,0.3,0,cons,-1,Mantener o Reducir
79,Hombre,0.6,0.25,cons,0,Mantener o Reducir
53,Mujer,0.8,1,ndp,1,Aumentar
55,Mujer,0.9,1,cons,0,Mantener o Reducir
56,Mujer,0.1,0.5,ndp,1,Aumentar
27,Hombre,0.4,0.25,lib,1,Aumentar
50,Mujer,0.8,0,ndp,1,Aumentar
22,Mujer,0.3,0.5,ndp,0,Mantener o Reducir
71,Hombre,0.6,0.25,cons,0,Mantener o Reducir
31,Hombre,0.8,0.5,lib,0,Mantener o Reducir
71,Hombre,0.8,0.75,ndp,0,Mantener o Reducir
26,Mujer,0.7,NA,ndp,1,Aumentar
62,Mujer,0.6,0.5,lib,0,Mantener o Reducir
24,Hombre,0.3,0.25,ndp,1,Aumentar
68,Hombre,0.4,0.5,cons,-1,Mantener o Reducir
53,Hombre,0.4,0.5,cons,-1,Mantener o Reducir
21,Mujer,0.6,0,cons,0,Mantener o Reducir
18,Mujer,0.3,0.75,cons,0,Mantener o Reducir
50,Hombre,0.6,0.5,cons,1,Aumentar
61,Hombre,0.4,0.5,cons,0,Mantener o Reducir
74,Hombre,0.4,0.5,lib,1,Aumentar
36,Hombre,0.6,0.5,cons,-1,Mantener o Reducir
49,Hombre,0.5,0.75,lib,-1,Mantener o Reducir
64,Mujer,0.6,0,cons,1,Aumentar
71,Mujer,0.5,0,lib,0,Mantener o Reducir
57,Mujer,0.5,0.25,ndp,1,Aumentar
48,Mujer,0.5,0.25,ndp,0,Mantener o Reducir
73,Hombre,0.7,0.5,lib,-1,Mantener o Reducir
