AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,P700I,P701$01,P701$02,P701$03,P701$04,P701$05,P701$10,P701$06,P701$07,P701$08,P701$09,P710I,P710$01,P710$02,P710$03,P710$04,P710$05,P710$06,P710$07,P710$08,P710$10,P710$11,P710$12,P710$13,P710$14,P710$15,P710$20,P710$21,P710$28,P710$29,P710$33,P710$34,TICUEST01,FACTOR
2025,07,015132,114,11,010403,7,7,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,301.571612719014
2025,07,015132,115,11,010403,7,7,01,0,0,1,1,0,0,0,0,0,0,01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,301.571612719014
2025,07,015132,116,11,010403,7,7,01,1,0,0,0,1,0,0,0,0,0,01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,301.571612719014
2025,07,015182,037,11,010512,7,7,02,0,0,1,0,0,0,0,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,301.571612719014
2025,07,015182,038,11,010512,7,7,01,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,301.571612719014
2025,07,015182,039,11,010512,7,7,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,301.571612719014
2025,07,015182,040,11,010512,7,7,01,1,0,1,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,301.571612719014
2025,07,015182,128,11,010512,7,7,02,1,0,0,0,0,0,0,0,0,0,02,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,301.571612719014
2025,07,015182,129,11,010512,7,7,02,0,0,1,1,0,0,0,0,0,0,02,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,301.571612719014
2025,07,015182,130,11,010512,7,7,02,0,0,1,1,0,0,0,0,0,0,02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,301.571612719014
2025,07,015182,131,11,010512,7,7,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,301.571612719014
2025,07,015186,010,11,021801,2,2,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1169.93563992674
2025,07,015186,027,11,021801,2,2,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1169.93563992674
